"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 19:15:19 MSK 2024","Thu Jul 11 19:15:20 MSK 2024","361","tests","test_order","TestMakeOrder","","","Проверка создания заказа неавторизованным пользователем","Отправляем запрос на создание заказа, ожидаем код 200"
"passed","Thu Jul 11 19:15:20 MSK 2024","Thu Jul 11 19:15:20 MSK 2024","160","tests","test_order","TestMakeOrder","","","Проверка создания заказа без ингридиентов авторизованным пользователем","Отправляем запрос на создание заказа, в запросе направляем пустой словарь ""ingredients"", в запросе добавляем accessToken в заголовки, ожидаем код 400"
"passed","Thu Jul 11 19:15:18 MSK 2024","Thu Jul 11 19:15:19 MSK 2024","1520","tests","test_order","TestMakeOrder","","","Проверка создания заказа с валидными ингридиентами авторизованным пользователем","Отправляем запрос на создание заказа с валидными ингридиентами, в запросе добавляем accessToken в заголовки, ожидаем код 200"
"passed","Thu Jul 11 19:15:22 MSK 2024","Thu Jul 11 19:15:22 MSK 2024","160","tests","test_user","TestCreateUser","","","Проверка создания пользователя без отправки обязательных параметров","Отправляем три запроса на создание пользователя, с помощью параметризации почередно убираем из запроса параметры ""email"", ""password"", ""name"", в каждом случае ожидаем код 403"
"passed","Thu Jul 11 19:15:21 MSK 2024","Thu Jul 11 19:15:21 MSK 2024","104","tests","test_order","TestGetUsersOrders","","","Проверка получения заказов неавторизованного пользователя","Отправляем запрос на получение заказа, в запросе указываем  пустой accessToken в заголовках, ожидаем код 401"
"passed","Thu Jul 11 19:15:22 MSK 2024","Thu Jul 11 19:15:22 MSK 2024","426","tests","test_user","TestCreateUser","","","Проверка создания пользователя с параметрами уже зарегистированного пользователя","Создаем пользователя, передав все валидные параметры, снова отправляем запрос на создание пользователя с этими данными, ожидаем код 403"
"passed","Thu Jul 11 19:15:26 MSK 2024","Thu Jul 11 19:15:26 MSK 2024","188","tests","test_user","TestChangeUserInfo","","","Проверка изменения поля ""email"" существующего  неавторизированного пользователя","Создаем пользователя, отправляем запрос на изменение поля ""email"", ожидаем код  401"
"passed","Thu Jul 11 19:15:22 MSK 2024","Thu Jul 11 19:15:23 MSK 2024","210","tests","test_user","TestLoginUser","","","Проверка авторизации пользователя, при указании всех обязательных полей","Совершаем авторизацию, используя тестовые данные в payload, ожидаем код 200"
"passed","Thu Jul 11 19:15:26 MSK 2024","Thu Jul 11 19:15:26 MSK 2024","105","tests","test_user","TestChangeUserInfo","","","Проверка изменения поля ""password"" существующего  неавторизированного пользователя ","Создаем пользователя, отправляем запрос на изменение поля ""password"", ожидаем код  401"
"passed","Thu Jul 11 19:15:23 MSK 2024","Thu Jul 11 19:15:23 MSK 2024","82","tests","test_user","TestLoginUser","","","Проверка авторизации пользователя, без отправки обязательных параметров","Отправляем два запроса на аторизацию пользователя, с помощью параметризации почередно  в одном запросе убираем параметр ""email"", во втором ""password"", в каждом случае ожидаем код 401"
"passed","Thu Jul 11 19:15:20 MSK 2024","Thu Jul 11 19:15:20 MSK 2024","109","tests","test_order","TestMakeOrder","","","Проверка создания заказа с неверным хешем ингредиентов авторизованным пользователем","Отправляем запрос на создание заказа, в запросе направляем словарь ""ingredients"" с неверным хешем ингредиентов, в запросе добавляем accessToken в заголовки, ожидаем код 500"
"passed","Thu Jul 11 19:15:23 MSK 2024","Thu Jul 11 19:15:24 MSK 2024","312","tests","test_user","TestChangeUserInfo","","","Проверка изменения поля ""email"" существующего  авторизированного пользователя ","Создаем пользователя, добавляем accessToken в заголовки, отправляем запрос на изменение поля ""email"", ожидаем код  200"
"passed","Thu Jul 11 19:15:24 MSK 2024","Thu Jul 11 19:15:24 MSK 2024","224","tests","test_user","TestChangeUserInfo","","","Проверка изменения поля ""email"" существующего  авторизированного пользователя на email другого существующего пользователя ","Создаем пользователя, добавляем accessToken в заголовки, отправляем запрос на изменение поля ""email"",передав email другого существующего пользователя, ожидаем код  403"
